Name,Price,Discounted Price,Description,Thumbnail,Image1,Image2,Image3,Image4,Formato,Color,Tag,Mensajeria,Stock,Garantía,Category,Availability,Supplier,Currency,ShippingCost,TasaCambio
LONCHERA INFANTIL CON COMPARTIMENTOS +BOTELLA CON SORBETE,$6.00,,"LONCHERA INFANTIL CON COMPARTIMENTOS +BOTELLA CON SORBETE

ÚTILES DEL HOGAR







0 días de Garantia

Peso: 1.20 lb

5.00 (1 reseñas)

$6.00

Descripción

Este set de lonchera infantil es ideal para el día a día escolar, paseos o actividades recreativas.
Gracias a sus compartimentos internos, permite organizar diferentes tipos de alimentos (frutas, snacks, arroz, proteínas) sin que se mezclen.

La botella con sorbete facilita la hidratación de los niños de forma segura y práctica, mientras que su correa permite transportarla cómodamente.
El material plástico es ligero, resistente, reutilizable y fácil de limpiar, lo que lo convierte en una opción práctica para padres y cuidadores.

Su diseño infantil atractivo ayuda a motivar a los niños a llevar y consumir sus alimentos, fomentando hábitos de alimentación saludable.

Detalles del Producto

COLOR:

verde

CONTENIDO DEL SET:

1 lonchera con compartimentos internos, 1 botella con sorbete y tapa abatible , 1 cuchara plástica

MATERIAL::

Plástico alimenticio (PP – Polipropileno)

DISEÑO:

Infantil, decorado con personaje animado

CAPACIDAD / DISTRIBUCIÓN:

Lonchera con 4 compartimentos internos para separar alimentos Botella con boquilla tipo sorbete y correa para transporte

COMPATIBILIDAD :

Apto para microondas (uso moderado, preferiblemente sin tapa) , Apto para lavavajillas ,Seguro para contacto con alimentos ,Material reciclable

DIMENSONES::

24 cm ()

Variantes
LONCHERA INFANTIL CON COMPARTI ...
1
Añadir al carrito
Añadir y comprar",https://api.7casa.com/media/products/f4742511-bb62-45d6-98e1-16af9e642f39/f0e6e882-e4d5-4378-ae16-fa738f268ed4.jpg,,,,,,,,,10,0 días de Garantia,Hogar y Muebles,,VP,"USD, EURO 1x1, CUP efectivo + 10",3 usd,440
LONCHERA ELÉCTRICA,$14.00,,"LONCHERA ELÉCTRICA

ÚTILES DEL HOGAR







7 días de Garantia

Peso: 1.24 lb

5.00 (1 reseñas)

$14.00

Descripción

La lonchera eléctrica es ideal para calentar y mantener la comida caliente de forma práctica y segura, sin necesidad de microondas. Es perfecta para personas que trabajan en oficina, conductores, estudiantes o cualquier persona que necesite disfrutar de una comida caliente fuera de casa.

Detalles del Producto

MODELO:

JC264

CAPACIDAD:

1.05 litros

POTENCIA:

40 W

VOLTAJE:

110 V

FRECUENCIA:

50 Hz

COLORES DISPONIBLES:

Azul, Verde, Rosado

MATERIAL:

Plástico resistente a altas temperaturas (material ecológico)

SISTEMA DE CALENTAMIENTO:

Elemento calefactor PTC de bajo consumo

FUNCIONES:

Calentar alimentos/ Mantener la comida caliente

DISEÑO:

Estilo moderno y compacto , Cierre hermético para conservar el calor , Válvula de vapor para un calentamiento seguro , Asa integrada para fácil transporte

ACCESORIOS INCLUIDOS:

Recipiente interno removible , plástica ,Cable de alimentación

DIMENSIONES:

21 cm (largo x 14 (ancho) x10 (altura)

Variantes
LONCHERA ELÉCTRICA
1
Añadir al carrito
Añadir y comprar",https://api.7casa.com/media/products/3e40d658-7e33-417c-8cb8-6037356388f1/e2c382c8-aa0d-45f9-9dd5-894534ecc0bb.jpg,,,,,,,,,10,7 días de Garantia,Pequeños Electrodomésticos,,VP,"USD, EURO 1x1, CUP efectivo + 10",,450
VENTILADOR RECARGABLE PORTÁTIL F6 CON LUZ LED 20000mAh NARANJA,$50.00,,"VENTILADOR RECARGABLE PORTÁTIL F6 CON LUZ LED 20000mAh NARANJA

ELECTRODOMÉSTICOS







30 días de Garantia

Peso: 12.00 lb

5.00 (2 reseñas)

$50.00

Descripción

El ventilador portátil 20000mAh F6 es un ventilador multifuncional para exteriores diseñado para ofrecer ventilación, iluminación y uso como power bank en un solo equipo. Su batería de alta capacidad, funciones de oscilación automática y luz LED regulable lo hacen adecuado para campamentos, uso doméstico o trabajo en exteriores. Incorpora entrada/salida USB-C, rotación ajustable en varios ángulos, control remoto y modo noche para funcionamiento sin luces indicadoras, manteniendo una operación estable y de bajo consumo.

Detalles del Producto

MODELO:

F6

POTENCIA MÁXIMA:

15W

POTENCIA DE TRABAJO:

15W

CAPACIDAD DE BATERÍA:

20000mAh

VOLTAJE DE ENTRADA:

DC 5V

CORRIENTE DE ENTRADA:

3A

ENTRADA/SALIDA USB-C:

DC 5V–3A

SALIDA USB:

DC 5V–3A

NIVELES DE VELOCIDAD DEL VENTILADOR:

4

OSCILACIÓN AUTOMÁTICA:

45° / 90°

AJUSTE VERTICAL:

libre hacia arriba/abajo

LÁMPARA LED:

3 niveles de brillo

CONTROL REMOTO:

Sí (alcance 5 m, 120°)

TEMPORIZACIÓN:

1H / 2H / 4H / 8H / OFF

DURACIÓN VENTILADOR:

12 horas (nivel 4)

DURACIÓN LUZ LED:

39 horas (nivel 3)

TIEMPO DE CARGA:

9–10 horas (5V–3A)

COLOR:

Naranja y Negro

DIMENSIONES DEL PAQUETE:

227 × 119 × 290 mm

Variantes
VENTILADOR RECARGABLE PORTÁTIL ...
1
Añadir al carrito
Añadir y comprar",https://api.7casa.com/media/products/f6b94121-096b-4584-8f17-49450265a148/85da1fee-816c-4fa0-b1f1-e4237dff8e2d.jpg,,,,,,,,,10,30 días de Garantia,Línea Blanca y Climatización,,VP,"USD, EURO 1x1, CUP efectivo + 10",,
SET DE LLAVES 1/4´´ y 1/2 ´´.94 piezas,$75.00,,"SET DE LLAVES 1/4´´ y 1/2 ´´.94 piezas

ÚTILES DEL HOGAR







0 días de Garantia

Peso: 15.00 lb

5.00 (3 reseñas)

$75.00

Descripción

Este juego de herramientas de 94 piezas es un kit completo que permite realizar reparaciones mecánicas, automotrices y del hogar. Gracias a su variedad de dados y accesorios, es ideal para aflojar y apretar tuercas y tornillos de múltiples tamaños, facilitando el mantenimiento de vehículos, motos, bicicletas, muebles y equipos. Su maletín rígido organiza todas las piezas y lo hace fácil de transportar y usar en cualquier lugar.
 

Detalles del Producto

MARCA:

Finder

MODELO:

Juego de dados 1/4"" y 1/2""

CANTIDAD DE PIEZAS:

94 piezas

MATERIAL:

Acero Cromo-Vanadio (50BV30)

ACABADO:

Satinado

TIPO DE HERRAMIENTA:

Juego de llaves de vaso (dados) y accesorios

INCLUYE::

Dados de 1/4"" Dados de 1/2"" Llave de carraca (matraca) Extensiones Adaptadores Puntas especiales (según configuración) Empuñadura tipo destornillador Maletín de transporte rígido

:

:

:

Variantes
SET DE LLAVES 1/4´´ y 1/2 ´´. ...
1
Añadir al carrito
Añadir y comprar",https://api.7casa.com/media/products/22a9db4e-1ec2-4468-abc9-ded8439d57fd/99ad8901-47bf-4934-bc2c-37953d138045.jpg,,,,,,,,,10,0 días de Garantia,Herramientas,,VP,"USD, EURO 1x1, CUP efectivo + 10",,
Cargador 1HORA Tipo C 20W con cable Lightning,$8.00,,"Cargador 1HORA Tipo C 20W con cable Lightning

CELULARES Y ACCESORIOS







15 días de Garantia

Peso: 2.00 lb

5.00 (2 reseñas)

$8.00

Descripción

iphone

Detalles del Producto

CARGADOR RÁPIDO:

Cargador rápido USB C para teléfono de 20W con cable Lightning a 1 m, iPhone 11 12 13 14 Carga al 57% en solo 30 minutos con cargador de 20W.

SEGURIDAD SUPERIOR Y CARGA RÁPIDA:

Enchufe del cargador PD tipo C, garantice una protección total para su dispositivo. La carga rápida del teléfono tiene protección contra sobretensiones incorporada y el voltaje es estable. La línea de protección contra rayos tiene un chip inteligente incorporado, que coincide automáticamente con la corriente requerida por el dispositivo.

CARGADOR PORTÁTIL:

Pequeño y liviano, fácil y sin estrés para llevar con usted cuando va al trabajo o viaja, cargue su teléfono en cualquier momento y en cualquier lugar, haciendo la vida más conveniente.

Variantes
Cargador 1HORA Tipo C 20W con ...
1
Añadir al carrito
Añadir y comprar",https://api.7casa.com/media/products/1dd0edf3-155e-438a-8d52-d52f75d6d652/5614804b-3de5-4177-91d0-4c897d5106d1.jpg,,,,,,,,,10,15 días de Garantia,Celulares y Accesorios,,VP,"USD, EURO 1x1, CUP efectivo + 10",,
BROCHA DE RODILLO 9´´/225mm,$5.00,,"BROCHA DE RODILLO 9´´/225mm

ÚTILES DEL HOGAR







0 días de Garantia

Peso: 0.80 lb

5.00 (1 reseñas)

$5.00

Descripción

El rodillo de pintura FINDER de 9” es ideal para aplicar pintura de manera rápida y uniforme en paredes, techos y superficies amplias. Su diseño permite cubrir grandes áreas con menos esfuerzo, proporcionando un acabado liso y eficiente. Es una herramienta práctica tanto para trabajos domésticos como profesionales.

Detalles del Producto

MARCA:

FINDER

TAMAÑO DEL RODILLO:

9 pulgadas (225 mm)

MATERIAL DEL RODILLO:

Fibra sintética para aplicación uniforme de pintura

MATERIAL DEL MANGO:

TPR (PP + goma) para mejor agarre y comodidad

ESTRUCTURA DEL MANGO:

Hierro cromado (chrome-plating)

DISEÑO:

Apto para pintura en superficies lisas y semi-lisas

Variantes
BROCHA DE RODILLO 9´´/225mm
1
Añadir al carrito
Añadir y comprar",https://api.7casa.com/media/products/6d99000a-a80b-41ff-a3b4-f9dc72ee37cb/8e771903-98a3-474f-b42f-285d595ea45f.jpg,,,,,,,,,10,0 días de Garantia,Ferretería y Pintura,,VP,"USD, EURO 1x1, CUP efectivo + 10",,
BROCHA PARA PINTAR 6´´/150mm,$3.00,,"BROCHA PARA PINTAR 6´´/150mm

ÚTILES DEL HOGAR







0 días de Garantia

Peso: 0.85 lb

5.00 (1 reseñas)

$3.00

Descripción

La brocha Finder de 6"" (152.4 mm) es una herramienta ideal para pintar superficies grandes de forma rápida y eficiente. Su ancho permite cubrir más área en menos tiempo, logrando acabados uniformes en paredes, techos y otros espacios amplios. Las cerdas sintéticas distribuyen bien la pintura y el mango ergonómico facilita un uso cómodo durante trabajos prolongados. Es adecuada para pinturas base agua como látex y acrílicas, tanto en interiores como exteriores.

Detalles del Producto

MARCA:

FINDER

ANCHO:

6 pulgadas (152.4 mm)

MATERIAL DE CERDAS:

Fibras sintéticas (color blanco)

MATERIAL DEL MANGO:

Plástico resistente (color naranja)

MATERIAL DE LA VIROLA (PARTE METÁLICA):

Acero metálico reforzado

Variantes
BROCHA PARA PINTAR 6´´/150mm
1
Añadir al carrito
Añadir y comprar",https://api.7casa.com/media/products/c91fe268-260a-46b5-bf1f-603d3741de7f/725b04af-bb3f-4eb9-b9a3-5387d1041be7.jpg,,,,,,,,,10,0 días de Garantia,Ferretería y Pintura,,VP,"USD, EURO 1x1, CUP efectivo + 10",,
BROCHA PARA PINTAR 4´´/100mm,$2.00,,"BROCHA PARA PINTAR 4´´/100mm

ÚTILES DEL HOGAR







0 días de Garantia

Peso: 0.35 lb

5.00 (1 reseñas)

$2.00

Descripción

La brocha FINDER de 4” es ideal para aplicar pintura en superficies medianas y grandes, ofreciendo buena cobertura y precisión en bordes y detalles. Sus cerdas sintéticas permiten un acabado uniforme, mientras que su mango ergonómico facilita el control y reduce la fatiga durante el trabajo. Es adecuada para pinturas a base de agua o aceite, siendo útil tanto para proyectos domésticos como profesionales.
 

Detalles del Producto

MARCA:

FINDER

TIPO DE PRODUCTO:

Brocha / Pincel de pintura

ANCHO DE LA BROCHA:

4 pulgadas (101.6 mm)

TIPO DE CERDAS:

Cerdas sintéticas (ideal para pinturas a base de agua o aceite)

USO RECOMENDADO:

Aplicación de pintura en superficies amplias, paredes, maderas y proyectos generales de pintura

ACABADO METÁLICO:

Cubierta metálica resistente en la base para mayor durabilidad

MANGO:

Plástico resistente,ergonómico para un mejor agarre y control

Variantes
BROCHA PARA PINTAR 4´´/100mm
1
Añadir al carrito
Añadir y comprar",https://api.7casa.com/media/products/aca934a1-ad99-4b1d-b070-e8c0693d8c35/c1405ada-8190-4ede-b7e3-332153853365.jpg,,,,,,,,,10,0 días de Garantia,Ferretería y Pintura,,VP,"USD, EURO 1x1, CUP efectivo + 10",,
MOTOSIERRA DE GASOLINA FD21012300,$140.00,,"MOTOSIERRA DE GASOLINA FD21012300

ELECTRODOMÉSTICOS







30 días de Garantia

Peso: 15.40 lb

5.00 (1 reseñas)

$140.00

Descripción

La Motosierra de Gasolina FINDER es un equipo de corte de la categoría de herramientas motorizadas diseñado para trabajos de tala, poda y seccionado de madera. Su motor de 3.1HP ofrece una velocidad sin carga de 10800rpm, proporcionando un rendimiento estable en aplicaciones continuas. Esta motosierra de 20 pulgadas integra un sistema de mezcla 1:25 para motores de dos tiempos y depósitos de combustible y aceite con capacidad adecuada para jornadas prolongadas. Pertenece a la MAX SERIES de FINDER, ofreciendo una estructura técnica adecuada para usuarios que requieren precisión y buena eficiencia en cortes de diferentes diámetros.

Detalles del Producto

MARCA:

FINDER

MODELO:

FD21012300

TIPO:

Motosierra de gasolina (Gasoline Chain Saw)

CILINDRADA:

58CC

POTENCIA:

2300W / 3.1HP

VELOCIDAD SIN CARGA:

10800 rpm

DIÁMETRO DEL CILINDRO:

45.2 mm

LONGITUD DE LA BARRA:

20""

CAPACIDAD DEL TANQUE DE COMBUSTIBLE:

550 ml

CAPACIDAD DEL TANQUE DE ACEITE:

260 ml

RELACIÓN DE MEZCLA ACEITE/GASOLINA:

1:25 (motor dos tiempos)

ACCESORIOS INCLUIDOS:

• Barra de corte 20"" • Cadena para motosierra • Protector de barra (funda plástica) • Botella medidora para mezcla • Llave combinada tipo T • Destornillador plano • Llave Allen • Manual de usuario

Variantes
MOTOSIERRA DE GASOLINA FD21012 ...
1
Añadir al carrito
Añadir y comprar",https://api.7casa.com/media/products/a7494594-decf-4981-b7f5-e303b40b6206/65f91f5e-14ed-4db1-9448-b8d70c6972e2.jpg,,,,,,,,,10,30 días de Garantia,Herramientas,,VP,"USD, EURO 1x1, CUP efectivo + 10",,
TALADRO PERCUTOR FD25020800,$70.00,,"TALADRO PERCUTOR FD25020800

ELECTRODOMÉSTICOS







30 días de Garantia

Peso: 14.40 lb

5.00 (1 reseñas)

$70.00

Descripción

El Taladro Percutor FINDER FD25020800, está especialmente diseñado para usuarios que necesitan un equipo robusto, potente y confiable para trabajos industriales, obras, talleres y uso profesional continuo. Su construcción sólida y su motor de 800W aseguran un rendimiento estable incluso bajo cargas exigentes, permitiendo perforar distintos materiales con eficiencia y precisión.

Detalles del Producto

MARCA:

FINDER

MODELO:

FD25020800

VOLTAJE:

110–127V

FRECUENCIA:

60Hz

POTENCIA:

800W

VELOCIDAD SIN CARGA:

1150 rpm

TASA DE IMPACTO:

5100 bpm

CAPACIDAD DE PERFORACIÓN:

26 mm

ACCESORIOS INCLUIDOS (6 PIEZAS):

• Broca 6×145 mm • Broca 8×145 mm • Broca 10×145 mm • Cincel plano puntiagudo 13×230 mm • Escobilla de carbón • Regla de hierro

Variantes
TALADRO PERCUTOR FD25020800
1
Añadir al carrito
Añadir y comprar",https://api.7casa.com/media/products/2647f293-e0f6-4aba-91b4-fe9670acd05d/49f587f0-b194-4f61-bcf7-db0848f5203b.jpg,,,,,,,,,10,30 días de Garantia,Herramientas,,VP,"USD, EURO 1x1, CUP efectivo + 10",,
